iter	Passed	Remaining
881	16017	2142
882	16032	2124
883	16047	2105
884	16063	2087
885	16082	2069
886	16098	2050
887	16116	2032
888	16131	2014
889	16151	1996
890	16168	1977
891	16188	1960
892	16205	1941
893	16223	1923
894	16238	1905
895	16254	1886
896	16271	1868
897	16289	1850
898	16304	1831
899	16320	1813
900	16336	1794
901	16351	1776
902	16366	1758
903	16382	1739
904	16451	1726
905	16495	1711
906	16540	1696
907	16605	1682
908	16644	1666
909	16659	1647
910	16673	1628
911	16688	1610
912	16710	1592
913	16727	1573
914	16746	1555
915	16764	1537
916	16783	1519
917	16801	1500
918	16819	1482
919	16837	1464
920	16858	1446
921	16881	1428
922	16903	1410
923	16920	1391
924	16937	1373
925	16954	1354
926	16970	1336
927	16986	1317
928	17002	1299
929	17018	1280
930	17033	1262
931	17047	1243
932	17064	1225
933	17078	1206
934	17097	1188
935	17116	1170
936	17135	1152
937	17152	1133
938	17169	1115
939	17188	1097
940	17207	1078
941	17225	1060
942	17244	1042
943	17261	1023
944	17279	1005
945	17297	987
946	17315	969
947	17332	950
948	17354	932
949	17374	914
950	17389	896
951	17406	877
952	17422	859
953	17437	840
954	17452	822
955	17467	803
956	17483	785
957	17502	767
958	17519	749
959	17536	730
960	17552	712
961	17568	693
962	17584	675
963	17600	657
964	17616	638
965	17635	620
966	17652	602
967	17667	584
968	17683	565
969	17698	547
970	17713	529
971	17727	510
972	17745	492
973	17758	474
974	17773	455
975	17788	437
976	17804	419
977	17822	400
978	17839	382
979	17855	364
980	17871	346
981	17888	327
982	17905	309
983	17921	291
984	17939	273
985	17955	254
986	17971	236
987	17987	218
988	18003	200
989	18018	182
990	18035	163
991	18051	145
992	18067	127
993	18082	109
994	18098	90
995	18113	72
996	18129	54
997	18147	36
998	18166	18
999	18183	0
